"Paper_ID","shard","Title","Abstract","Introduction","RelatedWork","Methods","Results","Discussion","Conclusion","Captions"
"01_WaveShaped_TIP2020_Smoke_Density_Estimation","G","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_appendix"
"02_CCENet_PR2022_Cubic-cross_convolutional_attention_smoke_segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(15)"
"03_Lightweight_PR2023_smoke_semantic_segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(14)"
"04_SAGINN_TIP2024_Smoke_Semantic_Segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(24)"
"05_NewtonInterpolation_PR2025_smoke_semantic_segmentation","G","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_appendix"
"06_MIFNet_PR2025_multi-scale_interactive_fusion_smoke_segmentation","H","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_inline(23)"
"07_CGRNet_TIP2021_Gated_Recurrent_Smoke_Semantic_Segmentation","G","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_appendix"
"08_Deep_Smoke_Segmentation_Neurocomputing2019","G","present","present","present","present","present","present","authored_subsection_in_results","present","present_appendix"
"09_MultiStage_GroupInteraction_TIP2026_Realtime_Smoke_Segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(19)"
"10_FrequencySpace_TCE2025_Lightweight_Smoke_Segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(17)"
"11_Confidence_Prior_PR2021_Image_Dehazing","H","present","present","present","present","present","present","synthesized_by_cleaner","present","present_inline(30)"
"12_CNN_Transformer_Complementary_PR2023_Medical_Segmentation","G","present","present","present","present","present","present_merged","authored_merged_heading","present","present_appendix"
"13_BiDirectional_BoundaryAware_TIP2024_Skin_Lesion_Segmentation","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(15)"
"16_MultiScale_MultiOrder_IS2018_Smoke_Recognition","G","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_appendix"
"17_DoubleMapping_PR2012_Video_Smoke_Detection","H","present","present","present","absent_merged_elsewhere","present","present","none_content_in_results_or_conclusion","present","present_inline(16)"
"18_DualGuided_FrequencyPrototype_TMM2024_FewShot_Segmentation","H","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_inline(10)"
"19_HighOrder_LTP_IS2016_Smoke_Detection","I","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_blockquote(11)"
"20_GP_Smoke_Detection_IEEEAccess2017","H","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_inline(6)"
"21_LBP_LBPV_FireSafety2011_Video_Smoke_Detection","I","present","present","present","absent_merged_elsewhere","present","present","authored_standalone","present","present_blockquote(15)"
"30_DualEncoded_Curvelet_KSII2019_Smoke_Recognition","H","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_inline(11)"
"31_SubOriented_Histograms_LBP_KSII2016_Smoke","G","present","present","present","absent_merged_elsewhere","present","present","none_content_in_results_or_conclusion","present","present_appendix"
"36_FeatureAggregation_TCE2025_SuperResolution","H","present","present","present","present","present","present","none_content_in_results_or_conclusion","present","present_inline(11)"
